fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.66031	3.12224	2.7609	3.94886	4.66701	6.00942	6.26464
0.48534	2.73553	2.49358	3.57916	4.18532	5.43818	6.01987
0.71652	3.74017	3.26518	4.26968	4.69765	5.80936	6.08468
0.95922	4.87643	4.1983	5.2134	5.04929	5.83228	6.1304
0.53656	2.97639	2.46732	3.50207	4.16221	5.69407	6.13237
0.64754	3.14702	2.84817	3.71811	4.39926	5.58448	6.1785
0.86067	4.62332	3.91812	5.19341	5.15391	5.9356	6.11333
0.55926	3.20327	2.74575	3.72665	4.07872	5.32849	6.11495
0.62107	2.90686	2.57133	3.67314	4.58872	5.88016	6.10678
0.38689	2.2649	2.07678	2.96833	3.60717	4.98797	5.92666
0.67273	3.60862	3.01527	3.91117	4.16408	5.33707	6.10564
0.5671	3.03348	2.6183	3.58634	3.92561	5.1422	5.97874
0.85652	3.98996	3.35329	4.44897	4.62532	5.60326	6.13078
0.52402	2.97356	2.47476	3.35361	3.97347	5.51396	6.21013
0.82953	4.2315	3.36367	4.2388	4.50911	5.78412	6.17686
0.56017	3.11718	2.59364	3.61562	3.97246	5.29718	6.17339
0.49405	2.66558	2.37106	3.20163	3.95134	5.55764	6.32499
0.80025	3.79532	3.13789	4.07914	4.19305	5.4023	6.16409
0.72074	3.99911	3.2174	4.07665	4.49888	5.55162	6.14132
1.09347	5.76316	4.84062	6.04594	5.72516	6.37445	6.35233
0.8913	4.66959	3.85641	5.16927	5.14622	5.82125	6.15885
0.7489	3.56766	3.07202	4.18622	4.43039	5.47332	6.15313
0.90309	4.47908	3.72793	4.85047	5.27584	6.25296	6.40298
0.64916	3.44517	2.75238	3.59226	4.12829	5.38707	6.10942
0.72834	3.9652	3.38383	4.40847	4.41406	5.52892	6.1044
0.47508	2.45131	2.16681	3.15809	3.77692	5.05089	5.95432
0.59139	3.28106	2.8154	3.80941	4.29104	5.35862	6.03234
0.52676	2.8925	2.42357	3.23533	4.08136	5.43422	6.06281
0.60822	3.3645	3.07071	3.95987	4.04516	5.16354	6.04384
0.7054	3.74022	3.22011	4.19565	4.49622	5.76666	6.20588
0.72281	3.76178	3.27542	4.11814	4.56211	5.69698	6.24024
0.58291	3.06724	2.67469	3.69828	4.18619	5.58205	6.06814
0.69171	3.55559	3.15321	4.21148	4.31856	5.42366	6.00622
0.6732	3.9292	3.36452	4.15334	4.40091	5.4591	6.16571
1.19193	6.03835	4.81386	5.54846	5.21554	5.93266	6.10719
0.70445	3.3819	2.96685	4.03516	4.63694	5.88433	6.09445
0.45145	2.20815	1.98088	2.73909	3.55115	4.93699	5.89105
0.76238	4.04462	3.22922	4.21954	4.71229	6.02437	6.19845
1.82849	9.07387	7.33156	8.27306	6.73953	6.89206	6.50502
0.74408	3.81528	3.3603	4.4085	4.74574	5.96663	6.15035
0.83831	4.06487	3.3023	4.29172	4.62913	5.60373	5.94689
1.16756	5.64494	4.64308	5.58477	5.11428	5.66944	6.14774
0.79135	3.94551	3.17319	4.15344	4.4961	5.81357	6.03821
0.51369	2.70025	2.39439	3.59868	4.12235	5.39512	6.13124
0.50406	2.80296	2.55246	3.45035	4.07731	5.49484	6.0161
0.47039	2.46201	2.17758	3.02009	3.74841	5.07086	5.90323
0.84134	4.28748	3.73627	4.5814	4.60983	5.66971	6.07068
0.65661	3.605	3.01635	4.00675	4.28293	5.51228	6.22571
0.93945	5.35046	4.1524	5.18634	5.15421	6.05728	6.25276
0.74284	3.84602	3.71601	4.86066	5.14449	6.07801	6.25426
0.8357	4.7327	3.97677	4.93916	5.12823	5.9964	6.10806
0.77919	3.87951	3.03415	4.01073	4.7332	5.98711	6.14938
0.78003	3.76495	3.36855	4.47768	4.83671	5.80367	6.07932
0.70165	3.3435	2.76681	3.82916	4.31334	5.45572	6.08203
0.59356	3.15032	2.57523	3.32253	3.82018	4.95665	5.83145
0.7184	3.57302	3.06798	3.89527	4.39573	5.57712	6.06935
0.63907	3.01181	2.51515	3.2885	3.90101	5.13937	5.93372
0.76045	4.32222	3.75037	4.85988	4.80318	5.82025	6.04208
0.73121	3.4922	2.91616	3.94482	4.43963	5.47778	5.93122
0.58232	3.2607	2.7611	3.45784	4.09467	5.40898	5.98044
1.61592	8.53671	6.49692	7.16665	6.35096	6.77886	6.16811
2.31577	11.20116	9.03625	10.49009	8.81826	8.4462	6.93453
0.96347	5.18631	4.37443	5.51037	5.82249	6.78247	6.27314
1.24608	6.0011	4.83869	5.76236	5.7467	6.27183	5.98247
0.89322	4.59607	3.83223	4.99972	5.06032	5.96812	6.10054
0.86441	4.48371	3.84065	4.79243	4.97902	6.00114	6.1142
0.76627	3.50259	2.85656	3.73928	4.42093	5.47172	6.01406
0.78566	4.01656	3.25473	4.27769	4.41255	5.19613	5.7798
0.72564	3.59506	2.91281	3.52725	4.02158	5.09156	5.82556
1.21479	6.67547	5.28368	6.50015	6.11612	6.62319	6.33014
0.96611	5.13092	4.55122	5.78564	5.42137	6.29816	6.33274
