fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
2.56067	0.01774	1.71376	1.36743	1.37457	1.25323	1.35029	0.61955
10.87571	0.05081	3.77734	1.63261	1.17028	0.74215	0.80582	0.39037
2.42356	0.01438	1.68424	1.26506	1.3087	1.05891	1.01624	0.54519
3.37447	0.02069	2.15482	1.28518	1.07564	0.70162	0.67175	0.32635
2.34525	0.01691	1.83791	1.41797	1.30047	0.99373	0.81921	0.42683
2.43226	0.01539	1.71654	1.28251	1.15501	1.01046	0.87574	0.47286
2.38833	0.01482	1.73092	1.25266	1.03376	0.82511	0.76766	0.34369
2.47709	0.01548	1.65364	1.20797	1.11922	0.89937	0.96554	0.39964
2.99787	0.02015	2.0267	1.37873	1.33807	1.07499	0.98324	0.44324
2.69651	0.01612	1.86155	1.4499	1.35704	1.11952	1.21979	0.57791
1.84282	0.01241	1.40931	1.09501	1.05941	0.80273	0.85332	0.45505
1.91671	0.01318	1.50278	1.14008	1.0071	0.75797	0.72962	0.36769
3.57015	0.01911	1.78424	1.03712	0.81301	0.67477	0.68979	0.32941
2.66741	0.01546	1.81517	1.24557	1.06114	0.71292	0.72221	0.33363
2.72032	0.01772	1.83721	1.45689	1.3261	1.06691	0.94131	0.42544
2.1862	0.01434	1.62284	1.30674	1.36853	1.11258	0.98901	0.37234
1.99412	0.01517	1.66288	1.44922	1.4964	1.34567	1.42762	0.6919
2.12554	0.01574	1.74612	1.4348	1.43664	1.09279	1.19263	0.59049
2.62814	0.01601	1.70034	1.10125	0.90159	0.62866	0.66787	0.35939
3.51909	0.02298	2.08581	1.40505	1.36553	1.24693	1.38786	0.65345
3.65172	0.02572	2.46215	1.73014	1.67485	1.36158	1.50566	0.81757
1.98437	0.01379	1.64417	1.2979	1.16926	0.8142	0.79445	0.42905
1.83837	0.01215	1.4642	1.09325	0.92936	0.72496	0.85128	0.44166
2.82758	0.01808	1.84154	1.18893	0.95102	0.68979	0.66169	0.3368
2.13526	0.01438	1.57349	1.21665	1.09188	0.81166	0.88729	0.47466
3.09766	0.01789	1.80369	1.13612	0.99905	0.74384	0.63691	0.30881
2.9529	0.01759	1.77598	1.11017	0.7482	0.5171	0.46773	0.20565
1.9525	0.01358	1.4925	1.10349	0.93535	0.74993	0.79774	0.409
4.1371	0.024	2.10553	1.28928	0.9542	0.62376	0.54379	0.20635
2.00781	0.01357	1.51818	1.1917	1.16358	1.01399	0.88451	0.34355
2.55602	0.018	1.86886	1.43258	1.2934	0.88606	0.86013	0.51209
