fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.32658	0.92436	0.98713	1.41886	2.07415	3.1479	2.54388
0.30986	0.96066	1.04024	1.37404	1.97901	3.03118	2.61339
0.28948	0.85576	0.923	1.38887	1.89649	3.0197	2.58621
0.34725	0.94998	1.04287	1.37922	1.98224	3.01363	2.54123
0.32705	1.08951	1.30998	1.64077	2.09166	3.15005	2.58004
0.33721	1.06821	1.26979	1.70335	2.1166	3.084	2.61302
0.41828	1.17131	1.20764	1.63497	2.10263	3.06149	2.55211
0.31961	0.88576	1.08625	1.61874	2.08278	2.9542	2.54035
0.26207	0.82868	1.02787	1.497	2.0592	3.08639	2.56316
0.48862	1.3636	1.43759	1.89477	2.25642	3.1134	2.57079
0.40516	1.13344	1.14891	1.49883	2.03713	3.15585	2.50843
0.36668	1.11119	1.23558	1.63233	2.15832	3.18187	2.60152
0.86374	2.21784	2.45757	2.87119	2.92228	3.60169	2.65662
0.36683	1.24215	1.28229	1.76833	2.24002	2.99876	2.5915
0.48007	1.63182	1.79974	2.16559	2.33013	3.10754	2.55431
0.47354	1.267	1.2457	1.73039	2.25892	3.13278	2.51019
0.36159	0.99894	1.25725	1.68539	2.14498	3.005	2.52696
0.39071	1.17339	1.18511	1.49723	1.93027	2.91595	2.49851
